ISO Code;Country name;Year;Number of deaths from drought;Number of deaths from earthquakes;Number of deaths from volcanic activity;Number of deaths from floods;Number of deaths from storms;Number of deaths from landslides;Number of deaths from wildfires;Number of deaths from extreme temperatures
BHS;Bahamas;1960;0;0;0;0;0,5;0;0;0
BHS;Bahamas;1970;0;0;0;0;0;0;0;0
BHS;Bahamas;1980;0;0;0;0;0;0;0;0
BHS;Bahamas;1990;0;0;0;0;0,5;0;0;0
BHS;Bahamas;2000;0;0;0;0;1,4;0;0;0
BHS;Bahamas;2010;0;0;0;0;39;0;0;0
BHS;Bahamas;2020;0;0;0;0;0;0;0;0
BGD;Bangladesh;1950;0;0;0;0;70;0;0;0
BGD;Bangladesh;1960;0;0;0;1029;9262,3;0;0;0
BGD;Bangladesh;1970;1,8;0;0;2937,5;30714,4;0;0;0
BGD;Bangladesh;1980;0;0,3;0;706,4;1897,7;0;0;17
BGD;Bangladesh;1990;0;2,9;0;294,4;14259,4;0;0;80,1
BGD;Bangladesh;2000;0;0,4;0;240,4;558,8;1,3;0;133,5
BGD;Bangladesh;2010;0;0,9;0;65,3;59,2;25,2;0;21,8
BGD;Bangladesh;2020;0;0;0;120;21,333334;0;0;0
BRB;Barbados;1950;0;0;0;0;5,7;0;0;0
BRB;Barbados;1960;0;0;0;0;0;0;0;0
BRB;Barbados;1970;0;0;0;0,3;0;0;0;0
BRB;Barbados;1980;0;0;0;0;0;0;0;0
BRB;Barbados;1990;0;0;0;0;0;0;0;0
BRB;Barbados;2000;0;0;0;0;0,1;0;0;0
BRB;Barbados;2010;0;0;0;0;0,1;0;0;0
BRB;Barbados;2020;0;0;0;0;0;0;0;0
BLR;Belarus;1950;0;0;0;0;0;0;0;0
BLR;Belarus;1960;0;0;0;0;0;0;0;0
BLR;Belarus;1970;0;0;0;0;0;0;0;0
BLR;Belarus;1980;0;0;0;0;0;0;0;0
BLR;Belarus;1990;0;0;0;0,2;0,5;0;0;0
BLR;Belarus;2000;0;0;0;0;0;0;0;0,5
BLR;Belarus;2010;0;0;0;0;0;0;0;4,9
BLR;Belarus;2020;0;0;0;0;0;0;0;0
BEL;Belgium;1950;0;0;0;1,5;0;0;0;0
BEL;Belgium;1960;0;0;0;0;0;0;0;1,2
BEL;Belgium;1970;0;0;0;0;0;0;0;0
BEL;Belgium;1980;0;0,2;0;0;0;0;0;0
BEL;Belgium;1990;0;0;0;0,1;2,4;0;0;0
BEL;Belgium;2000;0;0;0;0,2;0,7;0;0;211,8
BEL;Belgium;2010;0;0;0;0,4;0,8;0;0;112,9
BEL;Belgium;2020;0;0;0;13;0,6666667;0;0;486,66666
BLZ;Belize;1950;0;0;0;0;1,6;0;0;0
BLZ;Belize;1960;0;0;0;0;27,5;0;0;0
BLZ;Belize;1970;0;0;0;0;0,5;0;0;0
BLZ;Belize;1980;0;0;0;0;0;0;0;0
BLZ;Belize;1990;0;0;0;0;0,9;0;0;0
BLZ;Belize;2000;0;0;0;0,1;5,4;0;0;0
BLZ;Belize;2010;0;0;0;0;0;0;0;0
BLZ;Belize;2020;0;0;0;0;0;0;0;0
BEN;Benin;1950;0;0;0;0;0;0;0;0
BEN;Benin;1960;0;0;0;0;0;0;0;0
BEN;Benin;1970;0;0;0;0;0;0;0,2;0
BEN;Benin;1980;0;0;0;6,1;0;0;0;0
BEN;Benin;1990;0;0;0;3,7;0;0;0;0
BEN;Benin;2000;0;0;0;3,5;0;0;0;0
BEN;Benin;2010;0;0;0;5;0;0;0,1;0
BEN;Benin;2020;0;0;0;21;0;0;0;0
BMU;Bermuda;1950;0;0;0;0;0;0;0;0
BMU;Bermuda;1960;0;0;0;0;0;0;0;0
BMU;Bermuda;1970;0;0;0;0;0;0;0;0
BMU;Bermuda;1980;0;0;0;0;0;0;0;0
BMU;Bermuda;1990;0;0;0;0;0;0;0;0
BMU;Bermuda;2000;0;0;0;0;0,4;0;0;0
BMU;Bermuda;2010;0;0;0;0;0;0;0;0
BMU;Bermuda;2020;0;0;0;0;0;0;0;0
BTN;Bhutan;1950;0;0;0;0;0;0;0;0
BTN;Bhutan;1960;0;0;0;0;0;0;0;0
BTN;Bhutan;1970;0;0;0;0;0;0;0;0
BTN;Bhutan;1980;0;0;0;0;0;0;0;0
BTN;Bhutan;1990;0;0;0;2,2;1,7;0;0;0
BTN;Bhutan;2000;0;1,1;0;20;1,2;0;0;0
BTN;Bhutan;2010;0;0,1;0;0;0;0;0;0
BTN;Bhutan;2020;0;0;0;3,3333333;0;0;0;0
BOL;Bolivia;1950;0;0;0;0;0;0;0;0
BOL;Bolivia;1960;0;0;0;7,8;0;0;0;0
BOL;Bolivia;1970;0;0;0;8,1;0;0;0;0
BOL;Bolivia;1980;0;0;0;30,4;0;0;0;0
BOL;Bolivia;1990;0;10;0;6;0;14,9;0,3;0
BOL;Bolivia;2000;0;0;0;36,1;2;6,9;0;1,5
BOL;Bolivia;2010;0;0;0;32,3;0;11,6;0;2,2
BOL;Bolivia;2020;0;0;0;45,333332;0;0;1,6666666;0
BIH;Bosnia and Herzegovina;1950;0;0;0;0;0;0;0;0
BIH;Bosnia and Herzegovina;1960;0;0;0;0;0;0;0;0
BIH;Bosnia and Herzegovina;1970;0;0;0;0;0;0;0;0
BIH;Bosnia and Herzegovina;1980;0;0;0;0;0;0;0;0
BIH;Bosnia and Herzegovina;1990;0;0;0;0;0;0;0;0
BIH;Bosnia and Herzegovina;2000;0;0;0;0;0,4;0,6;0;0,1
BIH;Bosnia and Herzegovina;2010;0;0;0;3;0;0;0;0,6
BIH;Bosnia and Herzegovina;2020;0;0,33333334;0;0;0;0;0;0
BWA;Botswana;1950;0;0;0;0;0;0;0;0
BWA;Botswana;1960;0;0;0;0;0;0;0;0
BWA;Botswana;1970;0;0;0;0;0;0;0;0
BWA;Botswana;1980;0;0;0;0,8;0;0;0;0
BWA;Botswana;1990;0;0;0;2;0;0;0;0
BWA;Botswana;2000;0;0;0;0,3;0;0;0;0
BWA;Botswana;2010;0;0;0;1,2;0;0;0;0
BWA;Botswana;2020;0;0;0;0;0;0;0;0
BRA;Brazil;1950;0;0;0;21,2;5,9;6,6;0;0
BRA;Brazil;1960;0;0;0;181,8;3,6;78,6;0;11,3
BRA;Brazil;1970;0;0;0;114,2;1;12,1;0;12,6
BRA;Brazil;1980;2;0,1;0;159,8;11,6;14,3;0;7,7
BRA;Brazil;1990;0;0;0;38,6;0,3;37,8;0,1;0
BRA;Brazil;2000;0;0,1;0;86,6;2,6;22,1;0;0,7
BRA;Brazil;2010;0;0;0;161,6;0,4;3;0;3,2
BRA;Brazil;2020;0;0;0;230,33333;4;0;0;0
VGB;British Virgin Islands;1950;0;0;0;0;0;0;0;0
VGB;British Virgin Islands;1960;0;0;0;0;0;0;0;0
VGB;British Virgin Islands;1970;0;0;0;0;0;0;0;0
VGB;British Virgin Islands;1980;0;0;0;0;0;0;0;0
VGB;British Virgin Islands;1990;0;0;0;0;0;0;0;0
VGB;British Virgin Islands;2000;0;0;0;0;0;0;0;0
VGB;British Virgin Islands;2010;0;0;0;0;0,9;0;0;0
VGB;British Virgin Islands;2020;0;0;0;0;0;0;0;0
BRN;Brunei;1950;0;0;0;0;0;0;0;0
BRN;Brunei;1960;0;0;0;0;0;0;0;0
BRN;Brunei;1970;0;0;0;0;0;0;0;0
BRN;Brunei;1980;0;0;0;0;0;0;0;0
BRN;Brunei;1990;0;0;0;0;0;0;0;0
BRN;Brunei;2000;0;0;0;0;0;0;0;0
BRN;Brunei;2010;0;0;0;0;0;0;0;0
BRN;Brunei;2020;0;0;0;0;0;0;0;0
BGR;Bulgaria;1950;0;0;0;0;0;0;0;0
BGR;Bulgaria;1960;0;0;0;0;0;1,1;0;0
BGR;Bulgaria;1970;0;2;0;0;0;0;0;0
BGR;Bulgaria;1980;0;0,3;0;0;0;0;0;0
BGR;Bulgaria;1990;0;0,1;0;0;0;0;0;0,3
BGR;Bulgaria;2000;0;0;0;5,2;0,2;0;1;3,7
BGR;Bulgaria;2010;0;0;0;3;0,1;0;0;3,6
BGR;Bulgaria;2020;0;0;0;0;0;0;0;0
BFA;Burkina Faso;1950;0;0;0;0;0;0;0;0
BFA;Burkina Faso;1960;0;0;0;0;0;0;0;0
BFA;Burkina Faso;1970;0;0;0;0;0;0;0;0
BFA;Burkina Faso;1980;0;0;0;1,6;0;0;0;0
BFA;Burkina Faso;1990;0;0;0;2,8;0;0;0;0
BFA;Burkina Faso;2000;0;0;0;6,7;0;0;0;0
BFA;Burkina Faso;2010;0;0;0;6,1;0;0;0;0
BFA;Burkina Faso;2020;0;0;0;4,3333335;0;0;0;0
BDI;Burundi;1950;0;0;0;0;0;0;0;0
BDI;Burundi;1960;0;0;0;0;0;0;0;0
BDI;Burundi;1970;0;0;0;0;0;0;0;0
BDI;Burundi;1980;0;0;0;1,2;0;0;0;0
BDI;Burundi;1990;0,6;0;0;0;0;0;0;0
BDI;Burundi;2000;12;0,3;0;3,6;0;0;0;0
BDI;Burundi;2010;0;0;0;17,2;2,1;5,4;0;0
BDI;Burundi;2020;0;0;0;1;0,6666667;0;0;0
KHM;Cambodia;1950;0;0;0;0;0;0;0;0
KHM;Cambodia;1960;0;0;0;0;0;0;0;0
KHM;Cambodia;1970;0;0;0;0;0;0;0;0
KHM;Cambodia;1980;0;0;0;0;0;0;0;0
KHM;Cambodia;1990;0;0;0;67,2;2,5;0;0;0
KHM;Cambodia;2000;0;0;0;45,5;1,9;0;0;0
KHM;Cambodia;2010;0;0;0;52,6;0;0;0;0
KHM;Cambodia;2020;0;0;0;5;20,333334;0;0;0
CMR;Cameroon;1950;0;0;0;0;0;0;0;0
CMR;Cameroon;1960;0;0;0;0;0;0;0;0
CMR;Cameroon;1970;0;0;0;0;0;0;0;0
CMR;Cameroon;1980;0;0;178,3;0,2;0;0;0;0
CMR;Cameroon;1990;0;0;0;3,2;0;0;0;0
CMR;Cameroon;2000;0;0;0;5,2;0;2;0;0
CMR;Cameroon;2010;0;0;0;4,5;0;5,4;0;0
CMR;Cameroon;2020;0;0;0;0,6666667;0;1,6666666;0;0
CAN;Canada;1950;0;0;0;0,1;8,9;0;0;0
CAN;Canada;1960;0;0;0;0;3,3;2,6;0;0
CAN;Canada;1970;0;0;0;0;2,4;0;0;0
CAN;Canada;1980;0;0;0;0,3;3,8;0;0,1;0
CAN;Canada;1990;0;0;0;2,5;3,8;0;0;0
CAN;Canada;2000;0;0;0;0,9;3,2;0;0,1;0
CAN;Canada;2010;0;0;0;1,2;0,3;0;0,1;8
CAN;Canada;2020;0;0;0;1,6666666;4;0;0,6666667;271,66666
CPV;Cape Verde;1950;0;0;0;0;0;0;0;0
CPV;Cape Verde;1960;0;0;0;0;0;0;0;0
CPV;Cape Verde;1970;0;0;0;0;0;0;0;0
CPV;Cape Verde;1980;0;0;0;0;3,2;0;0;0
CPV;Cape Verde;1990;0;0;0;0;0;0;0;0
CPV;Cape Verde;2000;0;0;0;0,3;0;0;0;0
CPV;Cape Verde;2010;0;0;0;0;0,9;0;0;0
CPV;Cape Verde;2020;0;0;0;0,33333334;0;0;0;0
CYM;Cayman Islands;1950;0;0;0;0;0;0;0;0
CYM;Cayman Islands;1960;0;0;0;0;0;0;0;0
CYM;Cayman Islands;1970;0;0;0;0;0;0;0;0
CYM;Cayman Islands;1980;0;0;0;0;0;0;0;0
CYM;Cayman Islands;1990;0;0;0;0;0;0;0;0
CYM;Cayman Islands;2000;0;0;0;0;0,2;0;0;0
CYM;Cayman Islands;2010;0;0;0;0;0;0;0;0
CYM;Cayman Islands;2020;0;0;0;0;0;0;0;0
CAF;Central African Republic;1950;0;0;0;0;0;0;0;0
CAF;Central African Republic;1960;0;0;0;0;0;0;0;0
CAF;Central African Republic;1970;0;0;0;0;0;0;0;0
CAF;Central African Republic;1980;0;0;0;0;0;0;0;0
CAF;Central African Republic;1990;0;0;0;0,7;0;0;0;0
CAF;Central African Republic;2000;0;0;0;0,6;0,6;0;0,1;0
CAF;Central African Republic;2010;0;0;0;0,3;0,2;0;0;0
CAF;Central African Republic;2020;0;0;0;5,3333335;0;0;0;0
TCD;Chad;1950;0;0;0;0;0;0;0;0
TCD;Chad;1960;0;0;0;0;0;0;0;0
TCD;Chad;1970;0;0;0;0;1,3;0;0;0
TCD;Chad;1980;300;0;0;4,3;1,1;0;0;0
TCD;Chad;1990;0;0;0;4,1;0;0;0;0
TCD;Chad;2000;0;0;0;17,3;1,4;0;0;0
TCD;Chad;2010;0;0;0;4,4;0;5,2;0;0
TCD;Chad;2020;0;0;0;19;0;0;0;0
CHL;Chile;1950;0;1,5;0;0;0;0;0;0
CHL;Chile;1960;0;640,4;0,4;60;5,8;2,6;0;0
CHL;Chile;1970;0;8,5;0;3,6;1,5;3;0;0
CHL;Chile;1980;0;18,9;0;17,1;14,3;3,2;0;0
CHL;Chile;1990;0;1,1;0,6;15,9;0,4;14,1;1;0,2
CHL;Chile;2000;0;2,3;0;7,4;4,7;0;0;0,6
CHL;Chile;2010;0;59;0;20,5;0,6;2,2;3,2;0
CHL;Chile;2020;0;0;0;0;0;0;0;0
CHN;China;1950;0;9,3;0;204004,7;378,4;0;0;0
CHN;China;1960;0;300;0;0;68,6;0;0;0
CHN;China;1970;0;27404,2;0;2000;10,7;0;0;0
CHN;China;1980;140;126,4;0;1418,7;323,1;37,5;19,1;0,2
CHN;China;1990;200;64;0;1792,5;563,6;124,8;5,2;14,4
CHN;China;2000;13,4;8794,7;0;577;318;95,9;0;19,1
CHN;China;2010;0;421,8;0;622,7;159,3;274,7;5,2;4,7
CHN;China;2020;0;45;0;297,33334;35;5,6666665;6,3333335;0
COL;Colombia;1950;0;32,2;0;18,4;0;18,7;0;0
COL;Colombia;1960;0;12,8;0;13,5;0;3,2;0;0
COL;Colombia;1970;0;65;0;57,6;0;88,9;0;0
COL;Colombia;1980;0;26;2180;45;3,1;100,9;0;0
COL;Colombia;1990;0;152,7;1;23,4;0,2;29,8;0;0
COL;Colombia;2000;0;1,4;1,6;103,1;0,5;25,6;0;0
COL;Colombia;2010;0;0;0;97,5;1,1;68,9;4,2;0
COL;Colombia;2020;0;0;0;42,666668;7,6666665;26,333334;0;0
COM;Comoros;1950;0;0;0;0;50;0;0;0
COM;Comoros;1960;0;0;0;0;0;0;0;0
COM;Comoros;1970;0;0;0,1;0;0;0;0;0
COM;Comoros;1980;0;0;0;0;5,9;0;0;0
COM;Comoros;1990;0;0;0;0;0;0;0;0
COM;Comoros;2000;0;0;0,1;0,2;0;0;0;0
COM;Comoros;2010;0;0;0;0,4;0,8;0;0;0
COM;Comoros;2020;0;0;0;0;0;0;0;0
COG;Congo;1950;0;0;0;0;0;0;0;0
COG;Congo;1960;0;0;0;0;0;15,4;0;0
COG;Congo;1970;0;0;0;0;0;0;0;0
COG;Congo;1980;0;0;0;0;0;0;0;0
COG;Congo;1990;0;0;0;0,2;0;0;0;0
COG;Congo;2000;0;0;0;0,7;0;0;0;0
COG;Congo;2010;0;0;0;1,9;0;0;0;0
COG;Congo;2020;0;0;0;14,666667;0;0;0;0
COK;Cook Islands;1950;0;0;0;0;0;0;0;0
COK;Cook Islands;1960;0;0;0;0;0;0;0;0
COK;Cook Islands;1970;0;0;0;0;0;0;0;0
COK;Cook Islands;1980;0;0;0;0;0,5;0;0;0
COK;Cook Islands;1990;0;0;0;0;2;0;0;0
COK;Cook Islands;2000;0;0;0;0;0;0;0;0
COK;Cook Islands;2010;0;0;0;0;0;0;0;0
COK;Cook Islands;2020;0;0;0;0;0;0;0;0
CRI;Costa Rica;1950;0;3,9;0;0;0;0;0;0
CRI;Costa Rica;1960;0;0;10,2;0,7;0;0;0;0
CRI;Costa Rica;1970;0;2,1;0,2;2,4;0;0;0;0
CRI;Costa Rica;1980;0;1,2;0;0,8;2,8;0;0;0
CRI;Costa Rica;1990;0;5,1;0;2,7;6,2;0;0;0
CRI;Costa Rica;2000;0;4,1;0;4,4;0,5;0,7;0;0
CRI;Costa Rica;2010;0;0,2;0;3,8;2,2;0;0;0
CRI;Costa Rica;2020;0;0;0;1;0;0;0;0
CIV;Cote d'Ivoire;1950;0;0;0;0;0;0;0;0
CIV;Cote d'Ivoire;1960;0;0;0;0;0;0;0;0
CIV;Cote d'Ivoire;1970;0;0;0;0;0;0;0;0
CIV;Cote d'Ivoire;1980;0;0;0;0;0;0;0;0
CIV;Cote d'Ivoire;1990;0;0;0;2,8;0;0;0;0
CIV;Cote d'Ivoire;2000;0;0;0;0,6;0;2,7;0;0
CIV;Cote d'Ivoire;2010;0;0;0;14,7;0;0;0;0
CIV;Cote d'Ivoire;2020;0;0;0;12,333333;0;0;0;0
HRV;Croatia;1950;0;0;0;0;0;0;0;0
HRV;Croatia;1960;0;0;0;0;0;0;0;0
HRV;Croatia;1970;0;0;0;0;0;0;0;0
HRV;Croatia;1980;0;0;0;0;0;0;0;0
HRV;Croatia;1990;0;0;0;0;0;0;0;0
HRV;Croatia;2000;0;0;0;0;0,2;0;1,3;83,3
HRV;Croatia;2010;0;0;0;0,4;0;0;0;0,7
HRV;Croatia;2020;0;3;0;0;0;0;0;0
CUB;Cuba;1950;0;0;0;0;0;0;0;0
CUB;Cuba;1960;0;0;0;0;175,5;0;0;0
CUB;Cuba;1970;0;0,1;0;0,7;2,6;0;0;0
CUB;Cuba;1980;0;0;0;3,8;3,1;0;0;0
CUB;Cuba;1990;0;0;0;6,5;1,9;0;0;0
CUB;Cuba;2000;0;0;0;0,4;4;0;0;0
CUB;Cuba;2010;0;0;0;0,7;3,7;0;0;0
CUB;Cuba;2020;0;0;0;1;2;0;0;0
CYP;Cyprus;1950;0;4;0;0;0;0;0;0
CYP;Cyprus;1960;0;0;0;0;0,3;0;0;0
CYP;Cyprus;1970;0;0;0;0;0;0;0;0
CYP;Cyprus;1980;0;0;0;0;0;0;0;0
CYP;Cyprus;1990;0;0,2;0;0;0;0;0;5,2
CYP;Cyprus;2000;0;0;0;0;0;0;0;0,9
CYP;Cyprus;2010;0;0;0;0;0;0;0;0
CYP;Cyprus;2020;0;0;0;0;0;0;1,3333334;0
CZE;Czechia;1950;0;0;0;0;0;0;0;0
CZE;Czechia;1960;0;0;0;0;0;0;0;0
CZE;Czechia;1970;0;0;0;0;0;0;0;0
CZE;Czechia;1980;0;0;0;0;0;0;0;0
CZE;Czechia;1990;0;0;0;3,6;0;0;0;0
CZE;Czechia;2000;0;0;0;3,8;1;0;0;43,3
CZE;Czechia;2010;0;0;0;2,6;0;0;0;4,7
CZE;Czechia;2020;0;0;0;0;2,6666667;0;0;0
COD;Democratic Republic of Congo;1950;0;0;0;0;0;0;0;0
COD;Democratic Republic of Congo;1960;0;2,4;0;0;0;15,4;0;0
COD;Democratic Republic of Congo;1970;0;0;14,7;0;0;0;0;0
COD;Democratic Republic of Congo;1980;0;0;0;0;0;0;0;0
COD;Democratic Republic of Congo;1990;0;0,9;0;6,4;0;0;0;0
COD;Democratic Republic of Congo;2000;0;1,7;20;13,9;4,9;1,2;0;0
COD;Democratic Republic of Congo;2010;0;0,3;0;45,3;0;26,8;1,1;0
COD;Democratic Republic of Congo;2020;0;0;10,666667;33;8,666667;0;0;0
DNK;Denmark;1950;0;0;0;0;0;0;0;0
DNK;Denmark;1960;0;0;0;0;0;0;0;0
DNK;Denmark;1970;0;0;0;0;0;0;0;0
DNK;Denmark;1980;0;0;0;0;1,1;0;0;0
DNK;Denmark;1990;0;0;0;0;0,8;0;0;0
DNK;Denmark;2000;0;0;0;0;0,5;0;0;0
DNK;Denmark;2010;0;0;0;0;0,2;0;0;0
DNK;Denmark;2020;0;0;0;0;0,33333334;0;0;0
DJI;Djibouti;1950;0;0;0;0;0;0;0;0
DJI;Djibouti;1960;0;0;0;0;0;0;0;0
DJI;Djibouti;1970;0;0;0;0;0;0;0;0
DJI;Djibouti;1980;0;0;0;3,5;0;0;0;0
DJI;Djibouti;1990;0;0;0;14,5;0;0;0;0
DJI;Djibouti;2000;0;0;0;5,1;0;0;0;0
DJI;Djibouti;2010;0;0;0;1,1;0,2;0;0;0
DJI;Djibouti;2020;0;0;0;2,6666667;0;0;0;0
DMA;Dominica;1950;0;0;0;0;0;0;0;0
DMA;Dominica;1960;0;0;0;0;0;0;0;0
DMA;Dominica;1970;0;0;0;0;4;0;0;0
DMA;Dominica;1980;0;0;0;0;0,2;0;0;0
DMA;Dominica;1990;0;0;0;0;0,2;0;0;0
DMA;Dominica;2000;0;0;0;0;0,2;0;0;0
DMA;Dominica;2010;0;0;0;0;9,4;0;0;0
DMA;Dominica;2020;0;0;0;0;0;0;0;0
DOM;Dominican Republic;1950;0;0;0;0;0;0;0;0
DOM;Dominican Republic;1960;0;0;0;0;48,1;0;0;0
DOM;Dominican Republic;1970;0;0;0;3,2;140;0;0;0
DOM;Dominican Republic;1980;0;0;0;3,2;2,2;0;0;0
DOM;Dominican Republic;1990;0;0;0;4,3;38,2;0;0;0
DOM;Dominican Republic;2000;0;0,3;0;72,3;21,1;0;0;0
DOM;Dominican Republic;2010;0;0;0;2,9;2,6;0;0;0
DOM;Dominican Republic;2020;0;0;0;0;3,3333333;0;0;0
ECU;Ecuador;1950;0;0;0;12,1;0;0;0;0
ECU;Ecuador;1960;0;0;0;0;0;5;0;0
ECU;Ecuador;1970;0;4,9;0,1;2;0;10,5;0;0
ECU;Ecuador;1980;0;501;0;34,2;0;20;0;0
ECU;Ecuador;1990;0;3,7;0;26,7;0;46;0;0
