iso_code;year;population
Chile;1970;9820483
Chile;1980;11469825
Chile;1990;13342876
Chile;2000;15351803
Chile;2010;17004166
Chile;2020;19300318
CHN;1950;543979200
CHN;1960;654170700
CHN;1970;822534460
CHN;1980;982372500
CHN;1990;1153704200
CHN;2000;1264099100
CHN;2010;1348191400
CHN;2020;1424929800
COL;1950;11769747
COL;1960;15687692
COL;1970;20905256
COL;1980;26176206
COL;1990;32601396
COL;2000;39215136
COL;2010;44816104
COL;2020;50930656
COM;1950;161823
COM;1960;194864
COM;1970;242362
COM;1980;328336
COM;1990;431128
COM;2000;536762
COM;2010;656032
COM;2020;806168
COG;1950;835136
COG;1960;1055696
COG;1970;1396991
COG;1980;1829262
COG;1990;2385433
COG;2000;3134034
COG;2010;4437883
COG;2020;5702183
COK;1950;14703
COK;1960;17650
COK;1970;20495
COK;1980;17675
COK;1990;17147
COK;2000;15920
COK;2010;17237
COK;2020;17050
CRI;1950;948490
CRI;1960;1346310
CRI;1970;1855704
CRI;1980;2414306
CRI;1990;3158257
CRI;2000;3979189
CRI;2010;4622250
CRI;2020;5123107
CIV;1950;2736917
CIV;1960;3708671
CIV;1970;5477085
CIV;1980;8303818
CIV;1990;11910540
CIV;2000;16799664
CIV;2010;21120040
CIV;2020;26811792
HRV;1950;3864694
HRV;1960;4215334
HRV;1970;4492641
HRV;1980;4680144
HRV;1990;4873705
HRV;2000;4548438
HRV;2010;4368680
HRV;2020;4096872
CUB;1950;5926656
CUB;1960;7267396
CUB;1970;8869642
CUB;1980;9809115
CUB;1990;10626679
CUB;2000;11105799
CUB;2010;11290420
CUB;2020;11300695
CYP;1950;493969
CYP;1960;585727
CYP;1970;640804
CYP;1980;679336
CYP;1990;788501
CYP;2000;948238
CYP;2010;1129693
CYP;2020;1237540
CZE;1950;8916638
CZE;1960;9539362
CZE;1970;9795750
CZE;1980;10270060
CZE;1990;10301190
CZE;2000;10234712
CZE;2010;10464750
CZE;2020;10530951
COD;1950;12295748
COD;1960;15276558
COD;1970;20151742
COD;1980;26708692
COD;1990;35987544
COD;2000;48616330
COD;2010;66391260
COD;2020;92853170
DNK;1950;4267702
DNK;1960;4581730
DNK;1970;4922968
DNK;1980;5125397
DNK;1990;5144626
DNK;2000;5340662
DNK;2010;5550850
DNK;2020;5825638
DJI;1950;62351
DJI;1960;85956
DJI;1970;144393
DJI;1980;324130
DJI;1990;577183
DJI;2000;742046
DJI;2010;919206
DJI;2020;1090162
DMA;1950;50208
DMA;1960;59396
DMA;1970;68913
DMA;1980;73000
DMA;1990;69501
DMA;2000;68365
DMA;2010;68775
DMA;2020;72011
DOM;1950;2381743
DOM;1960;3298024
DOM;1970;4475880
DOM;1980;5755808
DOM;1990;7129004
DOM;2000;8540790
DOM;2010;9775756
DOM;2020;10999668
ECU;1950;3518730
ECU;1960;4618160
ECU;1970;6172219
ECU;1980;8135850
ECU;1990;10449845
ECU;2000;12626511
ECU;2010;14989581
ECU;2020;17588596
EGY;1950;21150060
EGY;1960;27034500
EGY;1970;34781990
EGY;1980;43748550
EGY;1990;57214630
EGY;2000;71371370
EGY;2010;87252420
EGY;2020;107465130
SLV;1950;2182419
SLV;1960;2779332
SLV;1970;3619097
SLV;1980;4509000
SLV;1990;5367182
SLV;2000;5958482
SLV;2010;6114039
SLV;2020;6292734
ERI;1950;822581
ERI;1960;993569
ERI;1970;1272748
ERI;1980;1657983
ERI;1990;2149967
ERI;2000;2392888
ERI;2010;3147733
ERI;2020;3555869
EST;1950;1102086
EST;1960;1218073
EST;1970;1362004
EST;1980;1476989
EST;1990;1570676
EST;2000;1396881
EST;2010;1331535
EST;2020;1329449
SWZ;1950;271656
SWZ;1960;345074
SWZ;1970;442874
SWZ;1980;598568
SWZ;1990;854020
SWZ;2000;1030504
SWZ;2010;1099926
SWZ;2020;1180663
ETH;1950;17709958
ETH;1960;21739718
ETH;1970;28308246
ETH;1980;34945470
ETH;1990;47878076
ETH;2000;67031870
ETH;2010;89237800
ETH;2020;117190920
FJI;1950;308317
FJI;1960;401851
FJI;1970;527647
FJI;1980;644596
FJI;1990;780437
FJI;2000;832516
FJI;2010;905176
FJI;2020;920430
FIN;1950;4008294
FIN;1960;4430178
FIN;1970;4606621
FIN;1980;4779423
FIN;1990;4986551
FIN;2000;5176208
FIN;2010;5363279
FIN;2020;5529468
FRA;1950;41842356
FRA;1960;45659572
FRA;1970;50523588
FRA;1980;53713836
FRA;1990;56412896
FRA;2000;58665456
FRA;2010;62444570
FRA;2020;64480052
GUF;1950;23420
GUF;1960;31143
GUF;1970;46502
GUF;1980;66849
GUF;1990;113948
GUF;2000;164367
GUF;2010;228469
GUF;2020;290978
PYF;1950;64548
PYF;1960;84864
PYF;1970;117907
PYF;1980;163605
PYF;1990;211108
PYF;2000;250939
PYF;2010;283795
PYF;2020;301935
GAB;1950;472913
GAB;1960;513346
GAB;1970;597192
GAB;1980;749079
GAB;1990;983039
GAB;2000;1272941
GAB;2010;1711117
GAB;2020;2292583
GMB;1950;306793
GMB;1960;399656
GMB;1970;528741
GMB;1980;718597
GMB;1990;1040625
GMB;2000;1437540
GMB;2010;1937284
GMB;2020;2574005
GEO;1950;3517266
GEO;1960;4051494
GEO;1970;4800427
GEO;1980;5145847
GEO;1990;5391635
GEO;2000;4265175
GEO;2010;3836834
GEO;2020;3765912
DEU;1950;70964104
DEU;1960;73063700
DEU;1970;78294590
DEU;1980;77786696
DEU;1990;79370190
DEU;2000;81551680
DEU;2010;81325090
DEU;2020;83328990
GHA;1950;5077600
GHA;1960;6911514
GHA;1970;8861897
GHA;1980;11865256
GHA;1990;15446987
GHA;2000;19665506
GHA;2010;25574722
GHA;2020;32180402
GRC;1950;7669097
GRC;1960;8495419
GRC;1970;8544874
GRC;1980;9307159
GRC;1990;10302255
GRC;2000;11038112
GRC;2010;11033784
GRC;2020;10512232
GRD;1950;77044
GRD;1960;93792
GRD;1970;98815
GRD;1980;94857
GRD;1990;99066
GRD;2000;107442
GRD;2010;114058
GRD;2020;123672
GLP;1950;215273
GLP;1960;276984
GLP;1970;318322
GLP;1980;334237
GLP;1990;391961
GLP;2000;424068
GLP;2010;403073
GLP;2020;395649
GUM;1950;61008
GUM;1960;72389
GUM;1970;88313
GUM;1980;110300
GUM;1990;138279
GUM;2000;160209
GUM;2010;164916
GUM;2020;169245
GTM;1950;3099871
GTM;1960;4098362
GTM;1970;5453206
GTM;1980;6987769
GTM;1990;9084779
GTM;2000;11735893
GTM;2010;14543126
GTM;2020;17362716
GIN;1950;2983566
GIN;1960;3516819
GIN;1970;4222383
GIN;1980;4972611
GIN;1990;6354146
GIN;2000;8336973
GIN;2010;10270728
GIN;2020;13205157
GNB;1950;543421
GNB;1960;577942
GNB;1970;591665
GNB;1980;831469
GNB;1990;973557
GNB;2000;1230855
GNB;2010;1567226
GNB;2020;2015839
GUY;1950;417734
GUY;1960;571994
GUY;1970;705266
GUY;1980;778187
GUY;1990;747124
GUY;2000;759059
GUY;2010;747937
GUY;2020;797207
HTI;1950;3247240
HTI;1960;3901147
HTI;1970;4680817
HTI;1980;5646680
HTI;1990;6925335
HTI;2000;8360224
HTI;2010;9842883
HTI;2020;11306804
HND;1950;1557940
HND;1960;2078624
HND;1970;2782756
HND;1980;3777994
HND;1990;5053235
HND;2000;6656727
HND;2010;8450936
HND;2020;10121762
HKG;1950;1980530
HKG;1960;3114676
HKG;1970;3955076
HKG;1980;4978551
HKG;1990;5838573
HKG;2000;6731195
HKG;2010;7132437
HKG;2020;7500955
HUN;1950;9337718
HUN;1960;9982618
HUN;1970;10315367
HUN;1980;10698682
HUN;1990;10375989
HUN;2000;10202054
HUN;2010;9986832
HUN;2020;9750571
ISL;1950;142666
ISL;1960;175583
ISL;1970;204483
ISL;1980;228276
ISL;1990;255026
ISL;2000;281469
ISL;2010;318346
ISL;2020;366682
IND;1950;357021120
IND;1960;445954560
IND;1970;557501300
IND;1980;696828350
IND;1990;870452160
IND;2000;1059633660
IND;2010;1240613600
IND;2020;1396387100
IDN;1950;69567624
IDN;1960;88382890
IDN;1970;115228390
IDN;1980;148177100
IDN;1990;182159890
IDN;2000;214072420
IDN;2010;244016180
IDN;2020;271858000
IRN;1950;16832842
IRN;1960;21388810
IRN;1970;28449702
IRN;1980;38520668
IRN;1990;55793628
IRN;2000;65544380
IRN;2010;75373864
IRN;2020;87290190
IRQ;1950;5656483
IRQ;1960;7084683
IRQ;1970;9811356
IRQ;1980;13653368
IRQ;1990;17658384
IRQ;2000;24628860
IRQ;2010;31264880
IRQ;2020;42556988
IRL;1950;2906608
IRL;1960;2811075
IRL;1970;2937647
IRL;1980;3391393
IRL;1990;3485370
IRL;2000;3768954
IRL;2010;4524581
IRL;2020;4946123
IMN;1950;54838
IMN;1960;48816
IMN;1970;55323
IMN;1980;64044
IMN;1990;68890
IMN;2000;75582
IMN;2010;83844
IMN;2020;84063
ISR;1950;1284166
ISR;1960;1902260
ISR;1970;2907314
ISR;1980;3744612
ISR;1990;4803255
ISR;2000;6116955
ISR;2010;7328439
ISR;2020;8757487
ITA;1950;46391944
ITA;1960;49517708
ITA;1970;53324036
ITA;1980;56329480
ITA;1990;56756560
ITA;2000;56966400
ITA;2010;59822452
ITA;2020;59500576
JAM;1950;1407472
JAM;1960;1642331
JAM;1970;1859094
JAM;1980;2135548
JAM;1990;2392035
JAM;2000;2612203
JAM;2010;2733904
JAM;2020;2820438
JPN;1950;84353060
JPN;1960;94464840
JPN;1970;105416840
JPN;1980;117624200
JPN;1990;123686320
JPN;2000;126803864
JPN;2010;128105430
JPN;2020;125244760
JOR;1950;438397
JOR;1960;847944
JOR;1970;1557376
JOR;1980;2216908
JOR;1990;3480591
JOR;2000;5056172
JOR;2010;6931263
JOR;2020;10928723
KAZ;1950;6655677
KAZ;1960;9319287
KAZ;1970;12265311
KAZ;1980;14172706
KAZ;1990;16866574
KAZ;2000;15236256
KAZ;2010;16627839
KAZ;2020;18979250
KEN;1950;5774050
KEN;1960;7751440
KEN;1970;11473096
KEN;1980;16187124
KEN;1990;23162270
KEN;2000;30851604
KEN;2010;41517896
KEN;2020;51985780
KIR;1950;37871
KIR;1960;47112
KIR;1970;57454
KIR;1980;60835
KIR;1990;75140
KIR;2000;88840
KIR;2010;108011
KIR;2020;126473
KWT;1950;153754
KWT;1960;305422
KWT;1970;802791
KWT;1980;1493882
KWT;1990;1674942
KWT;2000;1934910
KWT;2010;2943364
KWT;2020;4360451
KGZ;1950;1751232
KGZ;1960;2216535
KGZ;1970;3016390
KGZ;1980;3691213
KGZ;1990;4394738
KGZ;2000;4935185
KGZ;2010;5483781
KGZ;2020;6424880
LAO;1950;1684682
LAO;1960;2122537
LAO;1970;2675284
LAO;1980;3297520
LAO;1990;4314442
LAO;2000;5430862
LAO;2010;6323425
LAO;2020;7319397
LVA;1950;1922524
LVA;1960;2154253
LVA;1970;2397412
LVA;1980;2572039
LVA;1990;2689398
LVA;2000;2392536
LVA;2010;2101537
LVA;2020;1897057
LBN;1950;1349596
LBN;1960;1798095
LBN;1970;2381799
LBN;1980;2963707
LBN;1990;3593705
LBN;2000;4320650
LBN;2010;4995799
LBN;2020;5662924
LSO;1950;579478
LSO;1960;737851
LSO;1970;1023493
LSO;1980;1407685
LSO;1990;1799004
LSO;2000;1998632
LSO;2010;2022752
LSO;2020;2254104
LBR;1950;915910
LBR;1960;1137030
LBR;1970;1463571
LBR;1980;1932174
LBR;1990;2209737
LBR;2000;2895229
LBR;2010;4019958
LBR;2020;5087591
LBY;1950;1130680
LBY;1960;1426984
LBY;1970;1909179
LBY;1980;2962724
LBY;1990;4236988
LBY;2000;5154789
LBY;2010;6491991
LBY;2020;6653946
LTU;1950;2564806
LTU;1960;2875686
LTU;1970;3210153
LTU;1980;3521205
LTU;1990;3785851
LTU;2000;3599639
LTU;2010;3139021
LTU;2020;2820269
LUX;1950;296589
LUX;1960;314170
LUX;1970;339354
LUX;1980;363745
LUX;1990;381275
LUX;2000;435634
LUX;2010;507075
LUX;2020;630401
MAC;1950;196852
MAC;1960;177028
MAC;1970;247291
MAC;1980;245339
MAC;1990;350240
MAC;2000;431904
MAC;2010;557307
MAC;2020;676287
MDG;1950;3953898
MDG;1960;5073347
MDG;1970;6639750
MDG;1980;8948166
MDG;1990;11882763
MDG;2000;16216432
MDG;2010;21731052
MDG;2020;28225182
MWI;1950;2949747
MWI;1960;3621087
MWI;1970;4625145
MWI;1980;6267373
MWI;1990;9539669
MWI;2000;11229380
MWI;2010;14718426
MWI;2020;19377058
MYS;1950;5972878
MYS;1960;7833788
MYS;1970;10306509
MYS;1980;13215709
MYS;1990;17517060
MYS;2000;22945152
MYS;2010;28717728
MYS;2020;33199988
MDV;1950;74497
MDV;1960;91666
MDV;1970;123256
MDV;1980;164900
MDV;1990;224976
MDV;2000;282520
MDV;2010;361579
MDV;2020;514451
MLI;1950;4694920
MLI;1960;5346797
MLI;1970;6153586
MLI;1980;7372590
MLI;1990;8945030
MLI;2000;11239103
MLI;2010;15529183
MLI;2020;21224042
MHL;1950;13085
MHL;1960;15393
MHL;1970;23992
MHL;1980;32008
MHL;1990;46069
MHL;2000;54243
MHL;2010;53431
MHL;2020;43437
MTQ;1950;232006
MTQ;1960;290102
MTQ;1970;326440
MTQ;1980;333798
MTQ;1990;374280
MTQ;2000;432555
MTQ;2010;392183
MTQ;2020;370399
MRT;1950;658563
MRT;1960;838486
MRT;1970;1122207
MRT;1980;1506704
MRT;1990;2006035
MRT;2000;2695018
MRT;2010;3419462
MRT;2020;4498605
MUS;1950;525445
MUS;1960;676690
MUS;1970;830125
MUS;1980;954876
MUS;1990;1090296
MUS;2000;1215930
MUS;2010;1283347
MUS;2020;1297830
MEX;1950;27600140
MEX;1960;36268050
MEX;1970;50289304
MEX;1980;67705180
MEX;1990;81720424
MEX;2000;97873450
MEX;2010;112532400
MEX;2020;125998296
FSM;1950;31934
FSM;1960;43006
FSM;1970;59014
FSM;1980;76317
FSM;1990;98616
FSM;2000;111725
FSM;2010;107606
FSM;2020;112119
MDA;1950;2370314
MDA;1960;3133275
MDA;1970;3711141
MDA;1980;4103239
MDA;1990;4480206
MDA;2000;4251571
MDA;2010;3678186
MDA;2020;3084848
MNG;1950;781264
MNG;1960;977906
MNG;1970;1293885
MNG;1980;1697787
MNG;1990;2161440
MNG;2000;2450988
MNG;2010;2702527
MNG;2020;3294340
MNE;1950;402266
MNE;1960;473055
MNE;1970;530271
MNE;1980;589334
MNE;1990;621450
MNE;2000;633330
MNE;2010;631048
MNE;2020;629058
MSR;1950;13011
MSR;1960;12128
MSR;1970;11423
MSR;1980;11472
MSR;1990;10828
MSR;2000;5166
MSR;2010;4960
MSR;2020;4526
MAR;1950;8946213
MAR;1960;11769782
MAR;1970;15274357
MAR;1980;19678446
MAR;1990;24570816
MAR;2000;28554420
MAR;2010;32464866
MAR;2020;36688770
MOZ;1950;5920221
MOZ;1960;6788377
MOZ;1970;8411678
MOZ;1980;11413590
MOZ;1990;13303461
MOZ;2000;17768510
MOZ;2010;23073732
MOZ;2020;31178242
MMR;1950;17731816
MMR;1960;21720702
MMR;1970;27284118
MMR;1980;33465782
MMR;1990;40099556
MMR;2000;45538340
MMR;2010;49390988
MMR;2020;53423200
NAM;1950;514785
NAM;1960;590188
NAM;1970;754475
NAM;1980;975998
NAM;1990;1369016
NAM;2000;1819148
NAM;2010;2099275
NAM;2020;2489099
NPL;1950;8398952
NPL;1960;10167941
NPL;1970;12501288
NPL;1980;15600443
NPL;1990;19616528
NPL;2000;24559504
NPL;2010;27161572
NPL;2020;29348626
NDL;1950;10093555
NDL;1960;11493124
NDL;1970;13037686
NDL;1980;14130383
NDL;1990;14944550
NDL;2000;15899138
NDL;2010;16617121
NDL;2020;17434562
NCL;1950;63884
NCL;1960;81258
NCL;1970;111000
NCL;1980;148611
NCL;1990;177280
NCL;2000;221548
NCL;2010;261435
NCL;2020;286412
NZL;1950;1911611
NZL;1960;2381191
NZL;1970;2824068
NZL;1980;3147166
NZL;1990;3397388
NZL;2000;3855266
NZL;2010;4346345
NZL;2020;5061130
NIC;1950;1330447
NIC;1960;1789695
NIC;1970;2444776
NIC;1980;3303310
NIC;1990;4227824
NIC;2000;5123223
NIC;2010;5855736
NIC;2020;6755900
NER;1950;2569201
NER;1960;3497438
NER;1970;4669707
NER;1980;6173179
NER;1990;8370650
NER;2000;11622673
NER;2010;16647545
NER;2020;24333644
NGA;1950;37189376
NGA;1960;44928336
NGA;1970;55569268
NGA;1980;72951440
NGA;1990;95214260
NGA;2000;122851980
NGA;2010;160952860
NGA;2020;208327410
NIU;1950;4509
NIU;1960;4897
NIU;1970;5206
NIU;1980;3659
NIU;1990;2560
NIU;2000;2096
NIU;2010;1838
NIU;2020;1963
PRK;1950;11103386
PRK;1960;11655668
PRK;1970;14996881
PRK;1980;17973654
PRK;1990;20799522
PRK;2000;23367064
PRK;2010;24686436
PRK;2020;25867474
MKD;1950;1251437
MKD;1960;1462373
MKD;1970;1656789
MKD;1980;1907035
MKD;1990;2044181
MKD;2000;2037940
MKD;2010;2093828
MKD;2020;2111078
MNP;1950;7083
MNP;1960;8721
MNP;1970;10166
MNP;1980;17637
MNP;1990;48021
MNP;2000;80353
MNP;2010;54109
MNP;2020;49611
NOR;1950;3281428
NOR;1960;3581521
NOR;1970;3875550
NOR;1980;4085778
NOR;1990;4241637
NOR;2000;4491204
NOR;2010;4889747
NOR;2020;5379836
OMN;1950;457321
OMN;1960;536556
OMN;1970;670697
OMN;1980;1017473
OMN;1990;1804528
OMN;2000;2344261
OMN;2010;2881915
OMN;2020;4543406
PAK;1950;37696264
PAK;1960;45954228
PAK;1970;59290870
PAK;1980;80624056
PAK;1990;115414070
PAK;2000;154369920
PAK;2010;194454500
PAK;2020;227196740
PLW;1950;7451
PLW;1960;9470
PLW;1970;11394
PLW;1980;12279
PLW;1990;15318
PLW;2000;19745
PLW;2010;18563
PLW;2020;17999
PSE;1950;944814
PSE;1960;1073847
PSE;1970;1118247
PSE;1980;1453631
PSE;1990;2124623
PSE;2000;3139950
PSE;2010;3992283
PSE;2020;5019407
PAN;1950;861090
PAN;1960;1126996
PAN;1970;1516194
PAN;1980;1956989
PAN;1990;2449966
PAN;2000;3001738
PAN;2010;3623622
PAN;2020;4294391
PNG;1950;1542863
PNG;1960;1985668
PNG;1970;2489072
PNG;1980;3104793
PNG;1990;3864983
PNG;2000;5508300
PNG;2010;7583269
PNG;2020;9749641
PRY;1950;1504818
PRY;1960;1894835
PRY;1970;2408789
PRY;1980;3078914
PRY;1990;4059198
PRY;2000;5123817
PRY;2010;5768618
PRY;2020;6618700
PER;1950;7678967
PER;1960;10172210
PER;1970;13562372
PER;1980;17492406
PER;1990;22109102
PER;2000;26654440
PER;2010;29229576
PER;2020;33304768
PHL;1950;18469880
PHL;1960;28486868
PHL;1970;37435588
PHL;1980;48419544
PHL;1990;61558900
PHL;2000;77958220
PHL;2010;94636700
PHL;2020;112190984
POL;1950;24786240
POL;1960;29509902
POL;1970;32482946
POL;1980;35521430
POL;1990;38064252
POL;2000;38504430
POL;2010;38597356
POL;2020;38428370
PRT;1950;8416952
PRT;1960;8882476
PRT;1970;8683627
PRT;1980;9785251
PRT;1990;10007347
PRT;2000;10300632
PRT;2010;10588401
PRT;2020;10298186
PRI;1950;2229747
PRI;1960;2365078
PRI;1970;2737624
PRI;1980;3214573
PRI;1990;3543785
PRI;2000;3827104
PRI;2010;3717920
PRI;2020;3271570
QAT;1950;24310
QAT;1960;36406
QAT;1970;118019
QAT;1980;277459
QAT;1990;441685
QAT;2000;645947
QAT;2010;1713512
QAT;2020;2760390
REU;1950;249310
REU;1960;366001
REU;1970;473934
REU;1980;551677
REU;1990;659000
REU;2000;785432
REU;2010;890144
REU;2020;957829
ROU;1950;16392973
ROU;1960;18458012
ROU;1970;19922620
ROU;1980;22125226
ROU;1990;22836234
ROU;2000;21919882
ROU;2010;20335212
ROU;2020;19442040
RUS;1950;102580110
RUS;1960;119735100
RUS;1970;130093010
RUS;1980;138257420
RUS;1990;148005700
RUS;2000;146844850
RUS;2010;143242600
RUS;2020;145617330
RWA;1950;2154225
RWA;1960;2966170
RWA;1970;3896371
RWA;1980;5247537
RWA;1990;7319970
RWA;2000;8109994
RWA;2010;10309032
RWA;2020;13146367
BLM;1950;2027
BLM;1960;2214
BLM;1970;2435
BLM;1980;3005
BLM;1990;5193
BLM;2000;7108
BLM;2010;9011
BLM;2020;10706
SHN;1950;5249
SHN;1960;5390
SHN;1970;5780
SHN;1980;6421
SHN;1990;6633
SHN;2000;6048
SHN;2010;5338
SHN;2020;5448
KNA;1950;47275
KNA;1960;56679
KNA;1970;44991
KNA;1980;43117
KNA;1990;40663
KNA;2000;45492
KNA;2010;47429
KNA;2020;47666
LCA;1950;86716
LCA;1960;91629
LCA;1970;103108
LCA;1980;121651
LCA;1990;142315
LCA;2000;159513
LCA;2010;170950
LCA;2020;179245
MAF;1950;2999
MAF;1960;4152
MAF;1970;5823
MAF;1980;7797
MAF;1990;28150
MAF;2000;29633
MAF;2010;36478
MAF;2020;32577
VCT;1950;61563
VCT;1960;84157
VCT;1970;98478
VCT;1980;107499
VCT;1990;112507
VCT;2000;113832
VCT;2010;109324
VCT;2020;104644
WSM;1950;87970
WSM;1960;113351
WSM;1970;142785
WSM;1980;164921
WSM;1990;168202
WSM;2000;184022
WSM;2010;194686
WSM;2020;214934
STP;1950;60993
